YawnSeed,Outcome
Seed,Yawn
Seed,Yawn
Seed,Yawn
Seed,Yawn
Seed,Yawn
Seed,Yawn
Seed,Yawn
Seed,Yawn
Seed,Yawn
Seed,Yawn
Seed,NoYawn
Seed,NoYawn
Seed,NoYawn
Seed,NoYawn
Seed,NoYawn
Seed,NoYawn
Seed,NoYawn
Seed,NoYawn
Seed,NoYawn
Seed,NoYawn
Seed,NoYawn
Seed,NoYawn
Seed,NoYawn
Seed,NoYawn
Seed,NoYawn
Seed,NoYawn
Seed,NoYawn
Seed,NoYawn
Seed,NoYawn
Seed,NoYawn
Seed,NoYawn
Seed,NoYawn
Seed,NoYawn
Seed,NoYawn
NoSeed,Yawn
NoSeed,Yawn
NoSeed,Yawn
NoSeed,Yawn
NoSeed,NoYawn
NoSeed,NoYawn
NoSeed,NoYawn
NoSeed,NoYawn
NoSeed,NoYawn
NoSeed,NoYawn
NoSeed,NoYawn
NoSeed,NoYawn
NoSeed,NoYawn
NoSeed,NoYawn
NoSeed,NoYawn
NoSeed,NoYawn
